,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
0,software engineer,soluciones medioambientales morga,presencial,jornada completa,,no especificado,False,,,Lemona,Vizcaya,País Vasco,España,programador
1,developer,smadex,hibrido,jornada completa,4.0,no especificado,False,,,Barcelona,Barcelona,Cataluña,España,programador
2,qa engineer,rdt ingenieros,presencial,jornada completa,,no especificado,False,,,Guernica-Luno,Vizcaya,País Vasco,España,administracion
3,developer,agap2 espana,hibrido,jornada completa,3.0,no especificado,True,,,Valladolid,Valladolid,Castilla y León,España,programador
4,systems engineer,Indra,hibrido,jornada completa,,no especificado,False,,,Torrejón de Ardoz,Madrid,Comunidad de Madrid,España,sistemas
5,software engineer,viewnext,remoto,jornada completa,8.0,no especificado,True,,,,,,España,programador
6,ingeniero/a de desarrollo de producto electronico,diggia group,presencial,jornada completa,,no especificado,False,,,Cáceres,Cáceres,Extremadura,España,otros
7,software engineer,fmit technologies sl,hibrido,jornada completa,3.0,no especificado,False,,,Málaga,Málaga,Andalucía,España,programador
8,ingeniero/a de desarrollo de producto electronico,the wise seeker,presencial,jornada completa,,no especificado,False,,,Cáceres,Cáceres,Extremadura,España,otros
9,software engineer,bending spoons,remoto,jornada completa,,no especificado,False,,,Barcelona,Barcelona,Cataluña,España,programador
10,id engineer,acciona,presencial,jornada completa,1.0,no especificado,False,,,Madrid,Madrid,Comunidad de Madrid,España,programador
11,developer,cyncly,remoto,jornada completa,5.0,no especificado,False,,,,,,España,programador
12,development engineer m/f,zimvie,no especificado,jornada completa,,no especificado,True,,,Paterna,Valencia,Comunidad Valenciana,España,otros
13,developer,bimba y lola,hibrido,jornada completa,3.0,no especificado,False,,,Vigo,Pontevedra,Galicia,España,programador
14,junior ingeniero de desarrollo refrigeracion motor ,edag group,hibrido,jornada completa,1.0,no especificado,False,,,Barcelona,Barcelona,Cataluña,España,otros
15,manufacturing engineer / ingeniero de fabricacion tratamientos,hitachi energy,presencial,contrato por obra,5.0,no especificado,False,,,Córdoba,Córdoba,Andalucía,España,otros
16,software engineer,exceltic,hibrido,jornada completa,,no especificado,True,,,Madrid,Madrid,Comunidad de Madrid,España,programador
17,id engineer,bertrandt group,presencial,jornada completa,,no especificado,False,,,Martorell,Barcelona,Cataluña,España,programador
18,software engineer,Hays,hibrido,jornada completa,,no especificado,False,,,Madrid,Madrid,Comunidad de Madrid,España,programador
